deviceuid,timestamp,led_1_state,temperature_value,led_3_state,led_2_state,light_value,led_4_state,button_a_presses,button_b_presses,accelerometer_x,accelerometer_y,accelerometer_z,device_battery,accelerometer_mag
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.603540772+00:00,,31.6,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.603718466+00:00,,31.8,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.611111439+00:00,,31.9,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.618723989+00:00,,32.0,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.773170587+00:00,,32.1,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.789206214+00:00,,32.2,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.805358303+00:00,,32.5,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.822073394+00:00,,32.8,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.944921278+00:00,,33.1,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.945079264+00:00,,33.5,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.984480375+00:00,,33.9,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:00.016427703+00:00,,34.2,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:00.114549392+00:00,,34.4,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:00.127674043+00:00,,34.5,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:00.181074057+00:00,,34.4,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:00.200155644+00:00,,34.3,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:00.281713678+00:00,,34.2,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:00.300051887+00:00,,34.1,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:00.347049105+00:00,,34.0,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:00.370605498+00:00,,33.9,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:01.047047022+00:00,,33.6,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:01.122972051+00:00,,33.5,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:01.138829512+00:00,,33.0,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:01.155534978+00:00,,32.6,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:01.172584187+00:00,,32.2,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:01.189002422+00:00,,31.9,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:01.205598379+00:00,,31.8,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:01.292489576+00:00,,31.9,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.237603460+00:00,,,,,1025.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.272542926+00:00,,,,,1029.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.289043967+00:00,,,,,1041.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.305485990+00:00,,,,,1057.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.322019724+00:00,,,,,1073.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.339222531+00:00,,,,,1096.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.355816162+00:00,,,,,1128.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.372602988+00:00,,,,,1164.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.389019790+00:00,,,,,1195.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.405764417+00:00,,,,,1231.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.422083976+00:00,,,,,1259.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.438496262+00:00,,,,,1291.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.455279362+00:00,,,,,1310.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.472651417+00:00,,,,,1326.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.488773220+00:00,,,,,1346.0,,,,,,,,0.0
